College,Name,Position,Team,Salary,Number,Age,Weight,Height
Northeastern,J.J. Barea,PG,Dallas Mavericks,4290000.0,5.0,31.0,185.0,6-0
Western Kentucky,Jeremy Evans,SF,Dallas Mavericks,1100602.0,21.0,28.0,200.0,6-9
North Carolina,Raymond Felton,PG,Dallas Mavericks,3950313.0,2.0,31.0,205.0,6-1
Wisconsin,Devin Harris,PG,Dallas Mavericks,4053446.0,34.0,33.0,185.0,6-3
Florida,David Lee,PF,Dallas Mavericks,2085671.0,42.0,33.0,245.0,6-9
Marquette,Wesley Matthews,SG,Dallas Mavericks,16407500.0,23.0,29.0,220.0,6-5
Nevada,JaVale McGee,C,Dallas Mavericks,1270964.0,11.0,28.0,270.0,7-0
,Salah Mejri,C,Dallas Mavericks,525093.0,50.0,29.0,245.0,7-2
,Dirk Nowitzki,PF,Dallas Mavericks,8333334.0,41.0,37.0,245.0,7-0
,Zaza Pachulia,C,Dallas Mavericks,5200000.0,27.0,32.0,275.0,6-11
Florida,Chandler Parsons,SF,Dallas Mavericks,15361500.0,25.0,27.0,230.0,6-10
Stanford,Dwight Powell,PF,Dallas Mavericks,845059.0,7.0,24.0,240.0,6-11
Connecticut,Charlie Villanueva,PF,Dallas Mavericks,947276.0,3.0,31.0,232.0,6-11
Illinois,Deron Williams,PG,Dallas Mavericks,5378974.0,8.0,31.0,200.0,6-3
UCLA,Trevor Ariza,SF,Houston Rockets,8193030.0,1.0,30.0,215.0,6-8
Kansas State,Michael Beasley,SF,Houston Rockets,306527.0,8.0,27.0,235.0,6-10
Arkansas,Patrick Beverley,PG,Houston Rockets,6486486.0,2.0,27.0,185.0,6-1
Florida,Corey Brewer,SG,Houston Rockets,8229375.0,33.0,30.0,186.0,6-9
,Clint Capela,PF,Houston Rockets,1242720.0,15.0,22.0,240.0,6-10
Wisconsin,Sam Dekker,SF,Houston Rockets,1646400.0,7.0,22.0,230.0,6-9
Charleston,Andrew Goudelock,PG,Houston Rockets,200600.0,0.0,27.0,200.0,6-3
Arizona State,James Harden,SG,Houston Rockets,15756438.0,13.0,26.0,220.0,6-5
Louisville,Montrezl Harrell,PF,Houston Rockets,1000000.0,35.0,22.0,240.0,6-8
,Dwight Howard,C,Houston Rockets,22359364.0,12.0,30.0,265.0,6-11
Kentucky,Terrence Jones,PF,Houston Rockets,2489530.0,6.0,24.0,252.0,6-9
Clemson,K.J. McDaniels,SG,Houston Rockets,3189794.0,32.0,23.0,205.0,6-6
,Donatas Motiejunas,PF,Houston Rockets,2288205.0,20.0,25.0,222.0,7-0
,Josh Smith,C,Houston Rockets,947276.0,5.0,30.0,225.0,6-9
Arizona,Jason Terry,SG,Houston Rockets,947276.0,31.0,38.0,185.0,6-2
UCLA,Jordan Adams,SG,Memphis Grizzlies,1404600.0,3.0,21.0,209.0,6-5
Oklahoma State,Tony Allen,SG,Memphis Grizzlies,5158539.0,9.0,34.0,213.0,6-4
Blinn College,Chris Andersen,PF,Memphis Grizzlies,5000000.0,7.0,37.0,245.0,6-10
UCLA,Matt Barnes,SF,Memphis Grizzlies,3542500.0,22.0,36.0,226.0,6-7
North Carolina,Vince Carter,SG,Memphis Grizzlies,4088019.0,15.0,39.0,220.0,6-6
Ohio State,Mike Conley,PG,Memphis Grizzlies,9588426.0,11.0,28.0,175.0,6-1
Providence,Bryce Cotton,PG,Memphis Grizzlies,700902.0,8.0,23.0,165.0,6-1
UCLA,Jordan Farmar,PG,Memphis Grizzlies,,4.0,29.0,180.0,6-2
,Marc Gasol,C,Memphis Grizzlies,19688000.0,33.0,31.0,255.0,7-1
Alabama,JaMychal Green,PF,Memphis Grizzlies,845059.0,0.0,25.0,227.0,6-9
North Carolina,P.J. Hairston,SF,Memphis Grizzlies,1201440.0,19.0,23.0,230.0,6-6
LSU,Jarell Martin,PF,Memphis Grizzlies,1230840.0,10.0,22.0,239.0,6-10
Detroit,Ray McCallum,PG,Memphis Grizzlies,,5.0,24.0,190.0,6-3
Rhode Island,Xavier Munford,PG,Memphis Grizzlies,,14.0,24.0,180.0,6-3
Michigan State,Zach Randolph,PF,Memphis Grizzlies,9638555.0,50.0,34.0,260.0,6-9
Cincinnati,Lance Stephenson,SF,Memphis Grizzlies,9000000.0,1.0,25.0,230.0,6-5
USC,Alex Stepheson,PF,Memphis Grizzlies,,35.0,28.0,270.0,6-10
North Carolina,Brandan Wright,PF,Memphis Grizzlies,5464000.0,34.0,28.0,210.0,6-10
,Alexis Ajinca,C,New Orleans Pelicans,4389607.0,42.0,28.0,248.0,7-2
California,Ryan Anderson,PF,New Orleans Pelicans,8500000.0,33.0,28.0,240.0,6-10
,Omer Asik,C,New Orleans Pelicans,9213483.0,3.0,29.0,255.0,7-0
Nevada,Luke Babbitt,SF,New Orleans Pelicans,1100602.0,8.0,26.0,225.0,6-9
Cleveland State,Norris Cole,PG,New Orleans Pelicans,3036927.0,30.0,27.0,175.0,6-2
Villanova,Dante Cunningham,PF,New Orleans Pelicans,2850000.0,44.0,29.0,230.0,6-8
Kentucky,Anthony Davis,PF,New Orleans Pelicans,7070730.0,23.0,23.0,253.0,6-10
Iowa State,Bryce Dejean-Jones,SG,New Orleans Pelicans,169883.0,31.0,23.0,203.0,6-6
Florida State,Toney Douglas,PG,New Orleans Pelicans,1164858.0,16.0,30.0,195.0,6-2
Long Beach State,James Ennis,SF,New Orleans Pelicans,845059.0,4.0,25.0,210.0,6-7
Memphis,Tyreke Evans,SG,New Orleans Pelicans,10734586.0,1.0,26.0,220.0,6-6
Penn State,Tim Frazier,PG,New Orleans Pelicans,845059.0,2.0,25.0,170.0,6-1
Alabama,Alonzo Gee,SF,New Orleans Pelicans,1320000.0,15.0,29.0,225.0,6-6
Indiana,Eric Gordon,SG,New Orleans Pelicans,15514031.0,10.0,27.0,215.0,6-4
Texas,Jordan Hamilton,SG,New Orleans Pelicans,1015421.0,25.0,25.0,220.0,6-7
UCLA,Jrue Holiday,PG,New Orleans Pelicans,10595507.0,11.0,25.0,205.0,6-4
UC Santa Barbara,Orlando Johnson,SG,New Orleans Pelicans,55722.0,0.0,27.0,220.0,6-5
,Kendrick Perkins,C,New Orleans Pelicans,947276.0,5.0,31.0,270.0,6-10
Washington,Quincy Pondexter,SF,New Orleans Pelicans,3382023.0,20.0,28.0,220.0,6-7
Texas,LaMarcus Aldridge,PF,San Antonio Spurs,19689000.0,12.0,30.0,240.0,6-11
UCLA,Kyle Anderson,SF,San Antonio Spurs,1142880.0,1.0,22.0,230.0,6-9
Florida,Matt Bonner,C,San Antonio Spurs,947276.0,15.0,36.0,235.0,6-10
,Boris Diaw,C,San Antonio Spurs,7500000.0,33.0,34.0,250.0,6-8
Wake Forest,Tim Duncan,C,San Antonio Spurs,5250000.0,21.0,40.0,250.0,6-11
,Manu Ginobili,SG,San Antonio Spurs,2814000.0,20.0,38.0,205.0,6-6
North Carolina,Danny Green,SG,San Antonio Spurs,10000000.0,14.0,28.0,215.0,6-6
San Diego State,Kawhi Leonard,SF,San Antonio Spurs,16407500.0,2.0,24.0,230.0,6-7
,Boban Marjanovic,C,San Antonio Spurs,1200000.0,40.0,27.0,290.0,7-3
Western Carolina,Kevin Martin,SG,San Antonio Spurs,200600.0,23.0,33.0,199.0,6-7
Utah,Andre Miller,PG,San Antonio Spurs,250750.0,24.0,40.0,200.0,6-3
Saint Mary's,Patty Mills,PG,San Antonio Spurs,3578947.0,8.0,27.0,185.0,6-0
,Tony Parker,PG,San Antonio Spurs,13437500.0,9.0,34.0,185.0,6-2
Houston,Jonathon Simmons,SG,San Antonio Spurs,525093.0,17.0,26.0,195.0,6-6
Xavier,David West,PF,San Antonio Spurs,1499187.0,30.0,35.0,250.0,6-9
Old Dominion,Kent Bazemore,SF,Atlanta Hawks,2000000.0,24.0,26.0,201.0,6-5
Michigan,Tim Hardaway Jr.,SG,Atlanta Hawks,1304520.0,10.0,24.0,205.0,6-6
Kansas,Kirk Hinrich,SG,Atlanta Hawks,2854940.0,12.0,35.0,190.0,6-4
Florida,Al Horford,C,Atlanta Hawks,12000000.0,15.0,30.0,245.0,6-10
Minnesota,Kris Humphries,PF,Atlanta Hawks,1000000.0,43.0,31.0,235.0,6-9
Creighton,Kyle Korver,SG,Atlanta Hawks,5746479.0,26.0,35.0,212.0,6-7
Louisiana Tech,Paul Millsap,PF,Atlanta Hawks,18671659.0,4.0,31.0,246.0,6-8
Bucknell,Mike Muscala,PF,Atlanta Hawks,947276.0,31.0,24.0,240.0,6-11
Pittsburgh,Lamar Patterson,SG,Atlanta Hawks,525093.0,13.0,24.0,225.0,6-5
,Dennis Schroder,PG,Atlanta Hawks,1763400.0,17.0,22.0,172.0,6-1
Virginia,Mike Scott,PF,Atlanta Hawks,3333333.0,32.0,27.0,237.0,6-8
,Thabo Sefolosha,SF,Atlanta Hawks,4000000.0,25.0,32.0,220.0,6-7
,Tiago Splitter,C,Atlanta Hawks,9756250.0,11.0,31.0,245.0,6-11
,Walter Tavares,C,Atlanta Hawks,1000000.0,22.0,24.0,260.0,7-3
Wake Forest,Jeff Teague,PG,Atlanta Hawks,8000000.0,0.0,27.0,186.0,6-2
,Nicolas Batum,SG,Charlotte Hornets,13125306.0,5.0,27.0,200.0,6-8
Virginia Commonwealth,Troy Daniels,SG,Charlotte Hornets,947276.0,30.0,24.0,205.0,6-4
California,Jorge Gutierrez,PG,Charlotte Hornets,189455.0,12.0,27.0,189.0,6-3
North Carolina,Tyler Hansbrough,PF,Charlotte Hornets,947276.0,50.0,30.0,250.0,6-9
Kentucky,Aaron Harrison,SG,Charlotte Hornets,525093.0,9.0,21.0,210.0,6-6
Washington,Spencer Hawes,PF,Charlotte Hornets,6110034.0,0.0,28.0,245.0,7-1
,Al Jefferson,C,Charlotte Hornets,13500000.0,25.0,31.0,289.0,6-10
Wisconsin,Frank Kaminsky III,C,Charlotte Hornets,2612520.0,44.0,23.0,240.0,7-0
Kentucky,Michael Kidd-Gilchrist,SF,Charlotte Hornets,6331404.0,14.0,22.0,232.0,6-7
Connecticut,Jeremy Lamb,SG,Charlotte Hornets,3034356.0,3.0,24.0,185.0,6-5
Western Kentucky,Courtney Lee,SG,Charlotte Hornets,5675000.0,1.0,30.0,200.0,6-5
Harvard,Jeremy Lin,PG,Charlotte Hornets,2139000.0,7.0,27.0,200.0,6-3
Connecticut,Kemba Walker,PG,Charlotte Hornets,12000000.0,15.0,26.0,184.0,6-1
North Carolina,Marvin Williams,PF,Charlotte Hornets,7000000.0,2.0,29.0,237.0,6-9
Indiana,Cody Zeller,C,Charlotte Hornets,4204200.0,40.0,23.0,240.0,7-0
Georgia Tech,Chris Bosh,PF,Miami Heat,22192730.0,1.0,32.0,235.0,6-11
Duke,Luol Deng,SF,Miami Heat,10151612.0,9.0,31.0,220.0,6-9
,Goran Dragic,PG,Miami Heat,14783000.0,7.0,30.0,190.0,6-3
,Gerald Green,SF,Miami Heat,947276.0,14.0,30.0,205.0,6-7
Florida,Udonis Haslem,PF,Miami Heat,2854940.0,40.0,36.0,235.0,6-8
Arkansas,Joe Johnson,SF,Miami Heat,261894.0,2.0,34.0,240.0,6-7
Fresno State,Tyler Johnson,SG,Miami Heat,845059.0,8.0,24.0,186.0,6-4
Duke,Josh McRoberts,PF,Miami Heat,5543725.0,4.0,29.0,240.0,6-10
Tennessee,Josh Richardson,SG,Miami Heat,525093.0,0.0,22.0,200.0,6-6
,Amar'e Stoudemire,PF,Miami Heat,947276.0,5.0,33.0,245.0,6-10
Marquette,Dwyane Wade,SG,Miami Heat,20000000.0,3.0,34.0,220.0,6-4
Virginia Commonwealth,Briante Weber,PG,Miami Heat,,12.0,23.0,165.0,6-2
Marshall,Hassan Whiteside,C,Miami Heat,981348.0,21.0,26.0,265.0,7-0
Duke,Justise Winslow,SF,Miami Heat,2481720.0,20.0,20.0,225.0,6-7
,Dorell Wright,SF,Miami Heat,,11.0,30.0,205.0,6-9
USC,Dewayne Dedmon,C,Orlando Magic,947276.0,3.0,26.0,245.0,7-0
,Evan Fournier,SG,Orlando Magic,2288205.0,10.0,23.0,205.0,6-7
Arizona,Aaron Gordon,PF,Orlando Magic,4171680.0,0.0,20.0,220.0,6-9
,Mario Hezonja,SG,Orlando Magic,3741480.0,23.0,21.0,218.0,6-8
,Ersan Ilyasova,PF,Orlando Magic,7900000.0,7.0,29.0,235.0,6-10
,Brandon Jennings,PG,Orlando Magic,8344497.0,55.0,26.0,169.0,6-1
Iowa,Devyn Marble,SF,Orlando Magic,845059.0,11.0,23.0,200.0,6-6
Connecticut,Shabazz Napier,PG,Orlando Magic,1294440.0,13.0,24.0,175.0,6-1
St. Bonaventure,Andrew Nicholson,PF,Orlando Magic,2380593.0,44.0,26.0,250.0,6-9
Indiana,Victor Oladipo,SG,Orlando Magic,5192520.0,5.0,24.0,210.0,6-4
Louisiana-Lafayette,Elfrid Payton,PG,Orlando Magic,2505720.0,4.0,22.0,185.0,6-4
Colorado State,Jason Smith,PF,Orlando Magic,4300000.0,14.0,30.0,240.0,7-0
USC,Nikola Vucevic,C,Orlando Magic,11250000.0,9.0,25.0,260.0,7-0
Tennessee,C.J. Watson,PG,Orlando Magic,5000000.0,32.0,32.0,175.0,6-2
Michigan State,Alan Anderson,SG,Washington Wizards,4000000.0,6.0,33.0,220.0,6-6
Florida,Bradley Beal,SG,Washington Wizards,5694674.0,3.0,22.0,207.0,6-5
Boston College,Jared Dudley,SF,Washington Wizards,4375000.0,1.0,30.0,225.0,6-7
Virginia Tech,Jarell Eddie,SG,Washington Wizards,561716.0,8.0,24.0,218.0,6-7
Kansas,Drew Gooden,PF,Washington Wizards,3300000.0,90.0,34.0,250.0,6-10
,Marcin Gortat,C,Washington Wizards,11217391.0,13.0,32.0,240.0,6-11
North Carolina State,JJ Hickson,C,Washington Wizards,273038.0,21.0,27.0,242.0,6-9
,Nene Hilario,C,Washington Wizards,13000000.0,42.0,33.0,250.0,6-11
Kansas,Markieff Morris,PF,Washington Wizards,8000000.0,5.0,26.0,245.0,6-10
Kansas,Kelly Oubre Jr.,SF,Washington Wizards,1920240.0,12.0,20.0,205.0,6-7
Georgetown,Otto Porter Jr.,SF,Washington Wizards,4662960.0,22.0,23.0,198.0,6-8
Nevada,Ramon Sessions,PG,Washington Wizards,2170465.0,7.0,30.0,190.0,6-3
LSU,Garrett Temple,SG,Washington Wizards,1100602.0,17.0,30.0,195.0,6-6
LSU,Marcus Thornton,SF,Washington Wizards,200600.0,15.0,29.0,205.0,6-4
Kentucky,John Wall,PG,Washington Wizards,15851950.0,2.0,25.0,195.0,6-4
Kansas,Darrell Arthur,PF,Denver Nuggets,2814000.0,0.0,28.0,235.0,6-9
Texas,D.J. Augustin,PG,Denver Nuggets,3000000.0,12.0,28.0,183.0,6-0
Memphis,Will Barton,SF,Denver Nuggets,3533333.0,5.0,25.0,175.0,6-6
DePaul,Wilson Chandler,SF,Denver Nuggets,10449438.0,21.0,29.0,225.0,6-8
Morehead State,Kenneth Faried,PF,Denver Nuggets,11235955.0,35.0,26.0,228.0,6-8
,Danilo Gallinari,SF,Denver Nuggets,14000000.0,8.0,27.0,225.0,6-10
Michigan State,Gary Harris,SG,Denver Nuggets,1584480.0,14.0,21.0,210.0,6-4
,Nikola Jokic,C,Denver Nuggets,1300000.0,15.0,21.0,250.0,6-10
,Joffrey Lauvergne,C,Denver Nuggets,1709719.0,77.0,24.0,220.0,6-11
Florida,Mike Miller,SG,Denver Nuggets,947276.0,3.0,36.0,218.0,6-8
,Emmanuel Mudiay,PG,Denver Nuggets,3102240.0,0.0,20.0,200.0,6-5
Saint Joseph's,Jameer Nelson,PG,Denver Nuggets,4345000.0,1.0,34.0,190.0,6-0
,Jusuf Nurkic,C,Denver Nuggets,1842000.0,23.0,21.0,280.0,7-0
St. John's,JaKarr Sampson,SG,Denver Nuggets,258489.0,9.0,23.0,214.0,6-9
,Axel Toupane,SG,Denver Nuggets,,6.0,23.0,210.0,6-7
,Nemanja Bjelica,PF,Minnesota Timberwolves,3950001.0,88.0,28.0,240.0,6-10
Louisville,Gorgui Dieng,C,Minnesota Timberwolves,1474440.0,5.0,26.0,241.0,6-11
,Kevin Garnett,PF,Minnesota Timberwolves,8500000.0,21.0,40.0,240.0,6-11
Duke,Tyus Jones,PG,Minnesota Timberwolves,1282080.0,1.0,20.0,195.0,6-2
UCLA,Zach LaVine,PG,Minnesota Timberwolves,2148360.0,8.0,21.0,189.0,6-5
UCLA,Shabazz Muhammad,SF,Minnesota Timberwolves,2056920.0,15.0,23.0,223.0,6-6
Michigan State,Adreian Payne,PF,Minnesota Timberwolves,1938840.0,33.0,25.0,237.0,6-10
,Nikola Pekovic,C,Minnesota Timberwolves,12100000.0,14.0,30.0,307.0,6-11
Kentucky,Tayshaun Prince,SF,Minnesota Timberwolves,947276.0,12.0,36.0,212.0,6-9
,Ricky Rubio,PG,Minnesota Timberwolves,12700000.0,9.0,25.0,194.0,6-4
,Damjan Rudez,SF,Minnesota Timberwolves,1149500.0,10.0,29.0,230.0,6-9
Fresno State,Greg Smith,PF,Minnesota Timberwolves,,4.0,25.0,250.0,6-10
Kentucky,Karl-Anthony Towns,C,Minnesota Timberwolves,5703600.0,32.0,20.0,244.0,7-0
Kansas,Andrew Wiggins,SG,Minnesota Timberwolves,5758680.0,22.0,21.0,199.0,6-8
Pittsburgh,Steven Adams,C,Oklahoma City Thunder,2279040.0,12.0,22.0,255.0,7-0
Kansas,Nick Collison,PF,Oklahoma City Thunder,3750000.0,4.0,35.0,255.0,6-10
Texas,Kevin Durant,SF,Oklahoma City Thunder,20158622.0,35.0,27.0,240.0,6-9
Villanova,Randy Foye,SG,Oklahoma City Thunder,3135000.0,6.0,32.0,213.0,6-4
Stanford,Josh Huestis,SF,Oklahoma City Thunder,1140240.0,34.0,24.0,230.0,6-7
,Serge Ibaka,PF,Oklahoma City Thunder,12250000.0,9.0,26.0,245.0,6-10
Kentucky,Enes Kanter,C,Oklahoma City Thunder,16407500.0,11.0,24.0,245.0,6-11
Michigan,Mitch McGary,PF,Oklahoma City Thunder,1463040.0,33.0,24.0,255.0,6-10
Kentucky,Nazr Mohammed,C,Oklahoma City Thunder,222888.0,13.0,38.0,250.0,6-10
Georgia Tech,Anthony Morrow,SG,Oklahoma City Thunder,3344000.0,2.0,30.0,210.0,6-5
Murray State,Cameron Payne,PG,Oklahoma City Thunder,2021520.0,22.0,21.0,185.0,6-3
Colorado,Andre Roberson,SG,Oklahoma City Thunder,1210800.0,21.0,24.0,210.0,6-7
Duke,Kyle Singler,SF,Oklahoma City Thunder,4500000.0,5.0,28.0,228.0,6-8
Syracuse,Dion Waiters,SG,Oklahoma City Thunder,5138430.0,3.0,24.0,220.0,6-4
UCLA,Russell Westbrook,PG,Oklahoma City Thunder,16744218.0,0.0,27.0,200.0,6-3
Kansas,Cliff Alexander,PF,Portland Trail Blazers,525093.0,34.0,20.0,240.0,6-8
Wake Forest,Al-Farouq Aminu,SF,Portland Trail Blazers,8042895.0,8.0,25.0,215.0,6-9
Notre Dame,Pat Connaughton,SG,Portland Trail Blazers,625093.0,5.0,23.0,206.0,6-5
California,Allen Crabbe,SG,Portland Trail Blazers,947276.0,23.0,24.0,210.0,6-6
North Carolina,Ed Davis,C,Portland Trail Blazers,6980802.0,17.0,27.0,240.0,6-10
St. John's,Maurice Harkless,SF,Portland Trail Blazers,2894059.0,4.0,23.0,215.0,6-9
Duke,Gerald Henderson,SG,Portland Trail Blazers,6000000.0,9.0,28.0,215.0,6-5
Central Michigan,Chris Kaman,C,Portland Trail Blazers,5016000.0,35.0,34.0,265.0,7-0
Illinois,Meyers Leonard,PF,Portland Trail Blazers,3075880.0,11.0,24.0,245.0,7-1
Weber State,Damian Lillard,PG,Portland Trail Blazers,4236287.0,0.0,25.0,195.0,6-3
Lehigh,C.J. McCollum,SG,Portland Trail Blazers,2525160.0,3.0,24.0,200.0,6-4
Westchester CC,Luis Montero,SG,Portland Trail Blazers,525093.0,44.0,23.0,185.0,6-7
Duke,Mason Plumlee,C,Portland Trail Blazers,1415520.0,24.0,26.0,235.0,6-11
Dayton,Brian Roberts,PG,Portland Trail Blazers,2854940.0,2.0,30.0,173.0,6-1
Indiana,Noah Vonleh,PF,Portland Trail Blazers,2637720.0,21.0,20.0,240.0,6-9
Clemson,Trevor Booker,PF,Utah Jazz,4775000.0,33.0,28.0,228.0,6-8
Michigan,Trey Burke,PG,Utah Jazz,2658240.0,3.0,23.0,191.0,6-1
Colorado,Alec Burks,SG,Utah Jazz,9463484.0,10.0,24.0,214.0,6-6
,Dante Exum,PG,Utah Jazz,3777720.0,11.0,20.0,190.0,6-6
Georgia Tech,Derrick Favors,PF,Utah Jazz,12000000.0,15.0,24.0,265.0,6-10
,Rudy Gobert,C,Utah Jazz,1175880.0,27.0,23.0,245.0,7-1
Butler,Gordon Hayward,SF,Utah Jazz,15409570.0,20.0,26.0,226.0,6-8
Duke,Rodney Hood,SG,Utah Jazz,1348440.0,5.0,23.0,206.0,6-8
,Joe Ingles,SF,Utah Jazz,2050000.0,2.0,28.0,226.0,6-8
Dayton,Chris Johnson,SF,Utah Jazz,981348.0,23.0,26.0,206.0,6-6
Kentucky,Trey Lyles,PF,Utah Jazz,2239800.0,41.0,20.0,234.0,6-10
Butler,Shelvin Mack,PG,Utah Jazz,2433333.0,8.0,26.0,203.0,6-3
,Raul Neto,PG,Utah Jazz,900000.0,25.0,24.0,179.0,6-1
,Tibor Pleiss,C,Utah Jazz,2900000.0,21.0,26.0,256.0,7-3
Kansas,Jeff Withey,C,Utah Jazz,947276.0,24.0,26.0,231.0,7-0
